1|Mohamed Ahmed|admin|$SHA$bCe69kyGbur/91rl+D3lgA==$m9ugPsrrY1uXB/Xipr7Jo9O9dNTrf7C22qx3kcM2FII=|mohamed@elta3ban.com|01012345678|ADMIN|Management
2|Fatma Ibrahim|fatma_admin|password|fatma@elta3ban.com|01112345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
1|Ahmed Nader|admin|admin123|ahmed@pharmacy.com|01012345678|ADMIN|Management
